customer_id,product_id,profit,recency,R_Score,F_Score,M_Score,R_M_F_Value,Customer Title,Customer_Title
255,11,6813.82,57,2,4,4,244,Silver,Silver
256,5,1728.66,0,4,2,1,421,Platinum,Platinum
258,5,1642.58,18,4,2,1,421,Platinum,Platinum
259,4,2124.65,27,3,1,2,312,Gold,Gold
260,9,3381.41,8,4,4,3,443,Platinum,Platinum
263,7,3476.9399999999996,46,2,3,3,233,Silver,Silver
264,4,1025.2999999999997,48,2,1,1,211,Bronze,Bronze
265,4,2692.9100000000003,79,2,1,2,212,Silver,Silver
266,4,1742.83,32,3,1,1,311,Silver,Silver
268,4,2713.19,69,2,1,2,212,Silver,Silver
269,5,1668.85,168,1,2,1,121,Bronze,Bronze
271,2,1026.2700000000002,202,1,1,1,111,Bronze,Bronze
272,7,3842.0699999999997,91,1,3,3,133,Bronze,Bronze
274,4,790.0600000000001,149,1,1,1,111,Bronze,Bronze
279,6,2455.9300000000003,14,4,3,2,432,Platinum,Platinum
281,4,2233.67,9,4,1,2,412,Platinum,Platinum
283,5,4792.79,91,1,2,4,124,Bronze,Bronze
284,5,3251.42,133,1,2,3,123,Bronze,Bronze
285,6,2626.74,7,4,3,2,432,Platinum,Platinum
286,4,1954.7,137,1,1,2,112,Bronze,Bronze
287,1,1408.91,138,1,1,1,111,Bronze,Bronze
289,9,3924.11,44,3,4,3,343,Gold,Gold
291,2,605.01,40,3,1,1,311,Silver,Silver
293,5,1991.9300000000003,10,4,2,2,422,Platinum,Platinum
298,9,4382.4800000000005,8,4,4,4,444,Platinum,Platinum
299,7,6897.92,92,1,3,4,134,Bronze,Bronze
300,5,3475.8999999999996,156,1,2,3,123,Bronze,Bronze
301,2,89.71000000000001,93,1,1,1,111,Bronze,Bronze
303,3,3247.08,43,3,1,3,313,Gold,Gold
304,9,2785.0400000000004,80,2,4,2,242,Silver,Silver
305,6,2229.2799999999997,33,3,3,2,332,Gold,Gold
306,2,239.35000000000002,123,1,1,1,111,Bronze,Bronze
307,9,3660.95,15,4,4,3,443,Platinum,Platinum
308,6,4086.21,25,3,3,3,333,Gold,Gold
309,4,2208.58,9,4,1,2,412,Platinum,Platinum
310,7,4744.19,8,4,3,4,434,Platinum,Platinum
311,6,4054.480000000001,61,2,3,3,233,Silver,Silver
312,5,4570.38,13,4,2,4,424,Platinum,Platinum
313,6,3186.63,17,4,3,3,433,Platinum,Platinum
314,8,3200.1500000000005,20,3,4,3,343,Gold,Gold
315,9,2200.11,27,3,4,2,342,Gold,Gold
316,4,2158.71,11,4,1,2,412,Platinum,Platinum
317,4,2766.2700000000004,80,2,1,2,212,Silver,Silver
318,7,3632.18,9,4,3,3,433,Platinum,Platinum
320,10,7204.660000000002,12,4,4,4,444,Platinum,Platinum
322,11,10336.769999999999,1,4,4,4,444,Platinum,Platinum
323,6,2020.7300000000002,35,3,3,2,332,Gold,Gold
324,5,1779.6999999999996,21,3,2,1,321,Gold,Gold
325,6,4465.08,133,1,3,4,134,Bronze,Bronze
326,3,1201.2499999999998,161,1,1,1,111,Bronze,Bronze
327,5,3498.63,16,4,2,3,423,Platinum,Platinum
328,8,2357.8,4,4,4,2,442,Platinum,Platinum
329,6,3618.01,34,3,3,3,333,Gold,Gold
330,6,5296.799999999999,107,1,3,4,134,Bronze,Bronze
331,6,4404.67,82,2,3,4,234,Silver,Silver
332,2,239.35000000000002,263,1,1,1,111,Bronze,Bronze
333,6,3186.7200000000003,22,3,3,3,333,Gold,Gold
334,6,2127.59,56,2,3,2,232,Silver,Silver
337,6,3388.8199999999997,37,3,3,3,333,Gold,Gold
339,5,4327.24,58,2,2,4,224,Silver,Silver
341,2,955.0799999999999,134,1,1,1,111,Bronze,Bronze
342,3,468.8599999999999,93,1,1,1,111,Bronze,Bronze
343,9,5193.5599999999995,103,1,4,4,144,Bronze,Bronze
345,7,3971.4599999999996,19,3,3,3,333,Gold,Gold
346,9,6420.7,12,4,4,4,444,Platinum,Platinum
347,7,8326.369999999999,59,2,3,4,234,Silver,Silver
348,6,2071.99,125,1,3,2,132,Bronze,Bronze
350,6,1008.7100000000002,4,4,3,1,431,Platinum,Platinum
351,2,1438.6200000000001,11,4,1,1,411,Gold,Gold
352,6,4404.400000000001,25,3,3,4,334,Gold,Gold
354,6,3101.72,67,2,3,3,233,Silver,Silver
355,5,2662.75,45,2,2,2,222,Silver,Silver
359,10,2921.7599999999998,8,4,4,3,443,Platinum,Platinum
360,5,5070.23,8,4,2,4,424,Platinum,Platinum
361,7,3428.15,146,1,3,3,133,Bronze,Bronze
362,4,463.02,89,1,1,1,111,Bronze,Bronze
363,6,9458.169999999998,14,4,3,4,434,Platinum,Platinum
364,6,3329.97,11,4,3,3,433,Platinum,Platinum
365,7,4724.04,50,2,3,4,234,Silver,Silver
366,6,2692.7,115,1,3,2,132,Bronze,Bronze
367,5,2022.2000000000003,43,3,2,2,322,Gold,Gold
369,8,3931.7700000000004,101,1,4,3,143,Bronze,Bronze
371,5,5004.52,9,4,2,4,424,Platinum,Platinum
372,8,2598.13,31,3,4,2,342,Gold,Gold
373,1,1103.43,223,1,1,1,111,Bronze,Bronze
374,6,5271.75,13,4,3,4,434,Platinum,Platinum
375,4,487.99999999999994,91,1,1,1,111,Bronze,Bronze
376,3,368.1700000000001,43,3,1,1,311,Silver,Silver
377,11,4124.420000000001,6,4,4,4,444,Platinum,Platinum
378,7,3236.3199999999997,124,1,3,3,133,Bronze,Bronze
380,8,6196.16,35,3,4,4,344,Gold,Gold
382,7,1657.4499999999998,35,3,3,1,331,Gold,Gold
385,9,5220.5199999999995,78,2,4,4,244,Silver,Silver
386,5,2415.9700000000003,66,2,2,2,222,Silver,Silver
387,3,3417.7799999999997,31,3,1,3,313,Gold,Gold
389,6,2123.26,113,1,3,2,132,Bronze,Bronze
390,5,869.56,76,2,2,1,221,Silver,Silver
392,7,5025.310000000001,101,1,3,4,134,Bronze,Bronze
393,2,866.5799999999999,146,1,1,1,111,Bronze,Bronze
394,8,5445.46,45,2,4,4,244,Silver,Silver
395,6,3528.1899999999996,30,3,3,3,333,Gold,Gold
396,6,4647.130000000001,29,3,3,4,334,Gold,Gold
397,5,2618.0,45,2,2,2,222,Silver,Silver
399,6,5020.5,49,2,3,4,234,Silver,Silver
400,5,2688.92,134,1,2,2,122,Bronze,Bronze
401,7,3643.0299999999997,29,3,3,3,333,Gold,Gold
402,6,4965.429999999999,56,2,3,4,234,Silver,Silver
404,8,4874.55,18,4,4,4,444,Platinum,Platinum
406,5,3445.0099999999998,106,1,2,3,123,Bronze,Bronze
408,5,3082.2799999999997,17,4,2,3,423,Platinum,Platinum
409,4,2267.84,13,4,1,2,412,Platinum,Platinum
411,5,2553.8300000000004,187,1,2,2,122,Bronze,Bronze
414,6,2304.56,47,2,3,2,232,Silver,Silver
415,2,1490.77,248,1,1,1,111,Bronze,Bronze
417,7,3807.6400000000003,70,2,3,3,233,Silver,Silver
419,7,5027.369999999999,14,4,3,4,434,Platinum,Platinum
420,10,3652.17,59,2,4,3,243,Silver,Silver
421,6,3952.1500000000005,56,2,3,3,233,Silver,Silver
425,7,7388.6,25,3,3,4,334,Gold,Gold
426,8,5302.900000000001,59,2,4,4,244,Silver,Silver
427,4,2515.6800000000003,109,1,1,2,112,Bronze,Bronze
428,8,3355.11,51,2,4,3,243,Silver,Silver
429,8,3652.2599999999998,18,4,4,3,443,Platinum,Platinum
430,6,5625.17,65,2,3,4,234,Silver,Silver
431,1,1215.34,138,1,1,1,111,Bronze,Bronze
432,8,5110.170000000001,21,3,4,4,344,Gold,Gold
433,9,3754.1600000000008,15,4,4,3,443,Platinum,Platinum
435,4,4727.750000000001,102,1,1,4,114,Bronze,Bronze
436,3,2124.71,50,2,1,2,212,Silver,Silver
437,6,3045.5999999999995,48,2,3,3,233,Silver,Silver
438,8,7692.39,51,2,4,4,244,Silver,Silver
440,8,2481.1899999999996,11,4,4,2,442,Platinum,Platinum
444,7,3807.4599999999996,45,2,3,3,233,Silver,Silver
445,11,8081.860000000001,24,3,4,4,344,Gold,Gold
446,8,5363.299999999999,52,2,4,4,244,Silver,Silver
447,5,2690.73,0,4,2,2,422,Platinum,Platinum
448,4,2413.08,188,1,1,2,112,Bronze,Bronze
449,6,3292.4000000000005,133,1,3,3,133,Bronze,Bronze
450,4,3178.3,82,2,1,3,213,Silver,Silver
452,5,1561.59,24,3,2,1,321,Gold,Gold
455,3,1600.9,67,2,1,1,211,Bronze,Bronze
456,5,2183.0999999999995,88,1,2,2,122,Bronze,Bronze
457,5,3680.3399999999992,115,1,2,3,123,Bronze,Bronze
458,5,1247.2400000000002,26,3,2,1,321,Gold,Gold
459,5,2402.4,38,3,2,2,322,Gold,Gold
461,8,5722.38,20,3,4,4,344,Gold,Gold
463,7,3829.7,59,2,3,3,233,Silver,Silver
465,6,3488.7900000000004,4,4,3,3,433,Platinum,Platinum
467,6,3850.3199999999997,169,1,3,3,133,Bronze,Bronze
468,6,4063.59,94,1,3,3,133,Bronze,Bronze
469,10,4177.21,101,1,4,4,144,Bronze,Bronze
471,6,3918.11,48,2,3,3,233,Silver,Silver
472,5,3309.79,49,2,2,3,223,Silver,Silver
473,9,8364.66,115,1,4,4,144,Bronze,Bronze
474,2,1520.73,97,1,1,1,111,Bronze,Bronze
477,5,3375.0600000000004,35,3,2,3,323,Gold,Gold
481,2,1617.21,14,4,1,1,411,Gold,Gold
483,7,2307.78,40,3,3,2,332,Gold,Gold
484,5,1704.7799999999997,19,3,2,1,321,Gold,Gold
485,6,2715.28,14,4,3,2,432,Platinum,Platinum
486,5,4915.77,91,1,2,4,124,Bronze,Bronze
487,2,687.5100000000001,139,1,1,1,111,Bronze,Bronze
488,7,1172.1000000000001,27,3,3,1,331,Gold,Gold
489,5,2073.68,124,1,2,2,122,Bronze,Bronze
491,7,2735.71,68,2,3,2,232,Silver,Silver
492,4,2707.8999999999996,89,1,1,2,112,Bronze,Bronze
493,3,151.93999999999997,75,2,1,1,211,Bronze,Bronze
495,6,4087.0400000000004,128,1,3,3,133,Bronze,Bronze
496,4,1310.77,45,2,1,1,211,Bronze,Bronze
498,7,4982.41,7,4,3,4,434,Platinum,Platinum
499,11,4043.5799999999995,55,2,4,3,243,Silver,Silver
500,8,3977.8100000000004,24,3,4,3,343,Gold,Gold
502,4,2508.8100000000004,166,1,1,2,112,Bronze,Bronze
503,3,1280.6399999999996,83,2,1,1,211,Bronze,Bronze
504,8,2714.7599999999998,136,1,4,2,142,Bronze,Bronze
506,10,6985.24,56,2,4,4,244,Silver,Silver
508,4,2587.54,155,1,1,2,112,Bronze,Bronze
509,6,4389.7300000000005,89,1,3,4,134,Bronze,Bronze
511,5,2782.8799999999997,11,4,2,2,422,Platinum,Platinum
512,4,1136.3400000000001,95,1,1,1,111,Bronze,Bronze
515,8,5916.69,14,4,4,4,444,Platinum,Platinum
516,10,4722.210000000001,19,3,4,4,344,Gold,Gold
517,6,2632.1600000000003,10,4,3,2,432,Platinum,Platinum
518,3,938.2500000000001,261,1,1,1,111,Bronze,Bronze
520,5,819.26,16,4,2,1,421,Platinum,Platinum
521,2,624.9000000000001,154,1,1,1,111,Bronze,Bronze
523,6,2795.7700000000004,18,4,3,3,433,Platinum,Platinum
524,7,2024.5299999999997,138,1,3,2,132,Bronze,Bronze
525,8,3584.83,119,1,4,3,143,Bronze,Bronze
527,2,1694.76,43,3,1,1,311,Silver,Silver
528,7,4175.150000000001,134,1,3,4,134,Bronze,Bronze
529,6,2339.14,12,4,3,2,432,Platinum,Platinum
530,3,1751.35,162,1,1,1,111,Bronze,Bronze
531,5,1761.4599999999998,61,2,2,1,221,Silver,Silver
532,5,2963.81,28,3,2,3,323,Gold,Gold
533,6,5387.05,2,4,3,4,434,Platinum,Platinum
536,3,2832.0599999999995,32,3,1,3,313,Gold,Gold
537,3,825.7299999999999,49,2,1,1,211,Bronze,Bronze
538,7,6447.150000000001,4,4,3,4,434,Platinum,Platinum
540,6,1821.0300000000002,79,2,3,2,232,Silver,Silver
542,6,2098.52,38,3,3,2,332,Gold,Gold
543,5,1924.15,0,4,2,2,422,Platinum,Platinum
544,4,2246.42,173,1,1,2,112,Bronze,Bronze
545,6,5665.789999999999,6,4,3,4,434,Platinum,Platinum
546,5,4449.529999999999,37,3,2,4,324,Gold,Gold
547,6,2901.1899999999996,74,2,3,3,233,Silver,Silver
549,8,3751.75,40,3,4,3,343,Gold,Gold
551,4,2850.0,152,1,1,3,113,Bronze,Bronze
552,4,1577.7000000000003,159,1,1,1,111,Bronze,Bronze
553,6,2566.27,19,3,3,2,332,Gold,Gold
554,3,1670.6699999999998,38,3,1,1,311,Silver,Silver
555,4,3505.629999999999,165,1,1,3,113,Bronze,Bronze
559,4,1824.4800000000002,6,4,1,2,412,Platinum,Platinum
560,6,3583.46,41,3,3,3,333,Gold,Gold
563,7,1931.1299999999997,33,3,3,2,332,Gold,Gold
564,6,2143.39,11,4,3,2,432,Platinum,Platinum
565,10,7079.07,104,1,4,4,144,Bronze,Bronze
566,3,2145.5599999999995,52,2,1,2,212,Silver,Silver
568,7,1258.1,91,1,3,1,131,Bronze,Bronze
569,4,6084.139999999999,98,1,1,4,114,Bronze,Bronze
570,6,3446.07,35,3,3,3,333,Gold,Gold
571,3,2284.98,72,2,1,2,212,Silver,Silver
572,6,2600.44,13,4,3,2,432,Platinum,Platinum
574,4,2172.4100000000003,277,1,1,2,112,Bronze,Bronze
575,2,714.24,248,1,1,1,111,Bronze,Bronze
576,6,4580.35,7,4,3,4,434,Platinum,Platinum
579,9,4204.6,52,2,4,4,244,Silver,Silver
580,5,2185.5099999999998,24,3,2,2,322,Gold,Gold
581,4,2223.5499999999997,53,2,1,2,212,Silver,Silver
583,4,2258.1899999999996,31,3,1,2,312,Gold,Gold
584,4,1270.2099999999998,132,1,1,1,111,Bronze,Bronze
586,3,2562.4700000000003,90,1,1,2,112,Bronze,Bronze
587,6,3293.38,53,2,3,3,233,Silver,Silver
589,3,1397.8999999999999,10,4,1,1,411,Gold,Gold
590,11,6119.6,43,3,4,4,344,Gold,Gold
591,2,484.9599999999999,221,1,1,1,111,Bronze,Bronze
592,4,1071.53,199,1,1,1,111,Bronze,Bronze
595,3,2011.1599999999999,184,1,1,2,112,Bronze,Bronze
596,3,3836.34,85,2,1,3,213,Silver,Silver
597,5,1830.3900000000003,61,2,2,2,222,Silver,Silver
598,7,3535.5600000000004,131,1,3,3,133,Bronze,Bronze
600,3,1854.7800000000002,206,1,1,2,112,Bronze,Bronze
601,5,1423.44,58,2,2,1,221,Silver,Silver
603,7,3148.1000000000004,49,2,3,3,233,Silver,Silver
604,6,4661.959999999999,69,2,3,4,234,Silver,Silver
605,8,5025.639999999999,2,4,4,4,444,Platinum,Platinum
606,6,2488.5299999999997,55,2,3,2,232,Silver,Silver
607,10,7137.62,58,2,4,4,244,Silver,Silver
608,8,4050.1100000000006,85,2,4,3,243,Silver,Silver
609,4,2168.73,36,3,1,2,312,Gold,Gold
610,9,3399.91,46,2,4,3,243,Silver,Silver
611,8,3500.4400000000005,3,4,4,3,443,Platinum,Platinum
612,4,2074.34,1,4,1,2,412,Platinum,Platinum
613,6,2098.59,3,4,3,2,432,Platinum,Platinum
617,4,2313.43,20,3,1,2,312,Gold,Gold
618,2,1202.3899999999999,308,1,1,1,111,Bronze,Bronze
619,7,3378.35,65,2,3,3,233,Silver,Silver
620,8,1981.2999999999997,103,1,4,2,142,Bronze,Bronze
623,3,1636.8900000000003,93,1,1,1,111,Bronze,Bronze
624,3,3352.8900000000003,90,1,1,3,113,Bronze,Bronze
625,6,2326.08,16,4,3,2,432,Platinum,Platinum
626,9,3437.37,54,2,4,3,243,Silver,Silver
628,5,1313.8600000000001,54,2,2,1,221,Silver,Silver
629,8,2245.43,64,2,4,2,242,Silver,Silver
630,7,3717.21,53,2,3,3,233,Silver,Silver
632,3,1726.6099999999997,41,3,1,1,311,Silver,Silver
634,7,2853.1800000000003,17,4,3,3,433,Platinum,Platinum
637,13,5402.469999999999,7,4,4,4,444,Platinum,Platinum
639,6,2516.35,8,4,3,2,432,Platinum,Platinum
640,8,4278.6,10,4,4,4,444,Platinum,Platinum
641,4,2456.51,202,1,1,2,112,Bronze,Bronze
642,7,2724.29,24,3,3,2,332,Gold,Gold
643,4,2308.04,197,1,1,2,112,Bronze,Bronze
644,3,550.0,157,1,1,1,111,Bronze,Bronze
646,4,2533.4099999999994,110,1,1,2,112,Bronze,Bronze
647,9,5279.1900000000005,42,3,4,4,344,Gold,Gold
648,7,4222.63,57,2,3,4,234,Silver,Silver
649,5,263.5399999999999,11,4,2,1,421,Platinum,Platinum
